pl_name,hostname,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_eqt,st_teff,st_rad,st_mass
K2-198 c,K2-198,Transit,3.3596055,,1.423,1229.9,5212.9,0.757,0.799
K2-198 d,K2-198,Transit,7.4500177,,2.438,943.2,5212.9,0.757,0.799
K2-199 b,K2-199,Transit,3.2253993,0.0382,1.73,913,4491,0.682,0.711
K2-199 c,K2-199,Transit,7.3744897,0.0662,2.85,694,4491,0.682,0.711
K2-200 b,K2-200,Transit,2.849883,,1.3643987,,5233,0.791736,0.860208
K2-201 b,K2-201,Transit,1.05979,,1.40006712,,5507,0.878161,0.956055
K2-201 c,K2-201,Transit,22.779878,,3.28568401,,5507,0.878161,0.956055
K2-2016-BLG-0005L b,K2-2016-BLG-0005L,Microlensing,4700,4.16,13.7,,,,0.584
K2-202 b,K2-202,Transit,3.405164,,2.30165603,,5491,0.910685,0.971461
K2-203 b,K2-203,Transit,9.6952,0.0824,1.26549392,738.4,5026,0.765,0.793
K2-204 b,K2-204,Transit,7.055908,0.0738,3.17214154,1148,5783,1.253,1.076
K2-205 b,K2-205,Transit,26.672263,,1.99552771,,5890,1.077574,0.951027
K2-206 b,K2-206,Transit,18.294549,,2.79522879,,5043,0.758046,0.789481
K2-207 b,K2-207,Transit,12.48749,,2.60585269,,5522,0.928158,0.941851
K2-208 b,K2-208,Transit,4.19097,0.04878,1.67462172,1122,5500,0.872,0.881
K2-209 b,K2-209,Transit,2.080615,,0.86850263,,4720,0.712365,0.74479
K2-21 b,K2-21,Transit,9.325038,0.076,1.84,500,4222.06,0.646783,0.676023
K2-21 c,K2-21,Transit,15.50192,0.107,2.49,420,4222.06,0.646783,0.676023
K2-210 b,K2-210,Transit,0.57023,,0.86,,5500,0.89,0.911717
K2-211 b,K2-211,Transit,0.669561,0.01419,1.33162691,1873,5117,0.818,0.851
K2-212 b,K2-212,Transit,9.795647,0.0785,2.65,542,4349,0.678,0.622
K2-213 b,K2-213,Transit,8.13087,,1.51398464,,5794,1.20424,1.069596
K2-214 b,K2-214,Transit,8.59656,0.0834,2.51,1001,5875,1.236,1.03
K2-215 b,K2-215,Transit,8.269648,,2.12381238,,5704,0.974398,0.999987
K2-216 b,K2-216,Transit,2.1748,0.028,1.75,1103,4503,0.72,0.7
K2-217 b,K2-217,Transit,14.074524,,3.57854073,,5967,1.333718,1.102661
K2-218 b,K2-218,Transit,8.679885,,2.56948149,,5757,1.008231,1.047488
K2-219 b,K2-219,Transit,3.901287,,1.34762583,,5753,1.189232,1.021545
K2-219 c,K2-219,Transit,6.66767,,1.43839723,,5753,1.189232,1.021545
K2-219 d,K2-219,Transit,11.137278,,2.57634456,,5753,1.189232,1.021545
K2-22 b,K2-22,Transit,0.381073,0.009,2.3,2100,3879,0.58,0.595292
K2-220 b,K2-220,Transit,13.68186,0.1104,2.37,761,5612,1.026,0.91
K2-221 b,K2-221,Transit,2.399094,,1.67890272,,5716,0.947599,1.010842
K2-222 b,K2-222,Transit,15.38857,0.1206,2.35,871,5942,1.115,0.989
K2-223 b,K2-223,Transit,0.50557,0.0127,0.89,2271,5859,1,1.06
K2-223 c,K2-223,Transit,4.562546,0.0549,1.5,1091,5859,1,1.06
